datetime,from,to,distance_m,duration_s
2024-01-31 08:20:01.410123,Krankenhaus,Höhle,1902,176
2024-01-31 08:20:01.410123,Krankenhaus,Krumpaul,1560,145
2024-01-31 08:20:01.209163,Höhle,Krankenhaus,1905,183
2024-01-31 08:20:01.209163,Höhle,Krumpaul,2154,181
2024-01-31 08:10:01.696141,Krumpaul,Höhle,2174,184
2024-01-31 08:10:01.696141,Krumpaul,Krankenhaus,1539,147
2024-01-31 08:10:01.568719,Krankenhaus,Höhle,1902,176
2024-01-31 08:10:01.568719,Krankenhaus,Krumpaul,1560,145
2024-01-31 08:10:01.404906,Höhle,Krankenhaus,1905,183
2024-01-31 08:10:01.404906,Höhle,Krumpaul,2154,181
2024-01-31 08:00:01.816767,Krumpaul,Höhle,2174,184
2024-01-31 08:00:01.816767,Krumpaul,Krankenhaus,1539,147
2024-01-31 08:00:01.698369,Krankenhaus,Höhle,1902,176
2024-01-31 08:00:01.698369,Krankenhaus,Krumpaul,1560,145
2024-01-31 08:00:01.485273,Höhle,Krankenhaus,1905,183
2024-01-31 08:00:01.485273,Höhle,Krumpaul,2154,181
2024-01-31 07:50:01.959397,Krumpaul,Höhle,2174,184
2024-01-31 07:50:01.959397,Krumpaul,Krankenhaus,1539,147
2024-01-31 07:50:01.805717,Krankenhaus,Höhle,1902,176
2024-01-31 07:50:01.805717,Krankenhaus,Krumpaul,1560,145
2024-01-31 07:50:01.626165,Höhle,Krankenhaus,1905,183
2024-01-31 07:50:01.626165,Höhle,Krumpaul,2154,181
2024-01-31 07:40:01.896266,Krumpaul,Höhle,2174,184
2024-01-31 07:40:01.896266,Krumpaul,Krankenhaus,1539,147
2024-01-31 07:40:01.765747,Krankenhaus,Höhle,1902,176
2024-01-31 07:40:01.765747,Krankenhaus,Krumpaul,1560,145
2024-01-31 07:40:01.560816,Höhle,Krankenhaus,1905,183
2024-01-31 07:40:01.560816,Höhle,Krumpaul,2154,181
2024-01-31 07:30:01.734662,Krumpaul,Höhle,2174,184
2024-01-31 07:30:01.734662,Krumpaul,Krankenhaus,1539,147
2024-01-31 07:30:01.605288,Krankenhaus,Höhle,1902,176
2024-01-31 07:30:01.605288,Krankenhaus,Krumpaul,1560,145
2024-01-31 07:30:01.404815,Höhle,Krankenhaus,1905,183
2024-01-31 07:30:01.404815,Höhle,Krumpaul,2154,181
2024-01-31 07:20:01.713255,Krumpaul,Höhle,2174,184
2024-01-31 07:20:01.713255,Krumpaul,Krankenhaus,1539,147
2024-01-31 07:20:01.565429,Krankenhaus,Höhle,1902,176
2024-01-31 07:20:01.565429,Krankenhaus,Krumpaul,1560,145
2024-01-31 07:20:01.378604,Höhle,Krankenhaus,1905,183
2024-01-31 07:20:01.378604,Höhle,Krumpaul,2154,181
2024-01-31 07:10:02.51207,Krumpaul,Höhle,2174,184
2024-01-31 07:10:02.51207,Krumpaul,Krankenhaus,1539,147
2024-01-31 07:10:02.340762,Krankenhaus,Höhle,1902,176
2024-01-31 07:10:02.340762,Krankenhaus,Krumpaul,1560,145
2024-01-31 07:10:02.164566,Höhle,Krankenhaus,1905,183
2024-01-31 07:10:02.164566,Höhle,Krumpaul,2154,181
2024-01-31 07:00:01.297102,Krumpaul,Höhle,2174,184
2024-01-31 07:00:01.297102,Krumpaul,Krankenhaus,1539,147
2024-01-31 07:00:01.130712,Krankenhaus,Höhle,1902,176
2024-01-31 07:00:01.130712,Krankenhaus,Krumpaul,1560,145
2024-01-31 07:00:00.903089,Höhle,Krankenhaus,1905,183
2024-01-31 07:00:00.903089,Höhle,Krumpaul,2154,181
2024-01-31 06:50:01.603559,Krumpaul,Höhle,2174,184
2024-01-31 06:50:01.603559,Krumpaul,Krankenhaus,1539,147
2024-01-31 06:50:01.456519,Krankenhaus,Höhle,1902,176
2024-01-31 06:50:01.456519,Krankenhaus,Krumpaul,1560,145
2024-01-31 06:50:01.274266,Höhle,Krankenhaus,1905,183
2024-01-31 06:50:01.274266,Höhle,Krumpaul,2154,181
2024-01-31 06:40:01.878793,Krumpaul,Höhle,2174,184
2024-01-31 06:40:01.878793,Krumpaul,Krankenhaus,1539,147
2024-01-31 06:40:01.71948,Krankenhaus,Höhle,1902,176
2024-01-31 06:40:01.71948,Krankenhaus,Krumpaul,1560,145
2024-01-31 06:40:01.553997,Höhle,Krankenhaus,1905,183
2024-01-31 06:40:01.553997,Höhle,Krumpaul,2154,181
2024-01-31 06:30:01.60615,Krumpaul,Höhle,2174,184
2024-01-31 06:30:01.60615,Krumpaul,Krankenhaus,1539,147
2024-01-31 06:30:01.491153,Krankenhaus,Höhle,1902,176
2024-01-31 06:30:01.491153,Krankenhaus,Krumpaul,1560,145
2024-01-31 06:30:01.316104,Höhle,Krankenhaus,1905,183
2024-01-31 06:30:01.316104,Höhle,Krumpaul,2154,181
2024-01-31 06:20:01.814349,Krumpaul,Höhle,2174,184
2024-01-31 06:20:01.814349,Krumpaul,Krankenhaus,1539,147
2024-01-31 06:20:01.684382,Krankenhaus,Höhle,1902,176
2024-01-31 06:20:01.684382,Krankenhaus,Krumpaul,1560,145
2024-01-31 06:20:01.472157,Höhle,Krankenhaus,1905,183
2024-01-31 06:20:01.472157,Höhle,Krumpaul,2154,181
