from,to,distance_m,duration_s,duration_in_traffic_s,datetime,from_to
Krumpaul,Krankenhaus,1539,147,151,2024-01-23T09:40:02.361469000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,181,2024-01-23T09:40:02.200467000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,157,2024-01-23T09:40:02.200467000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,188,2024-01-23T09:40:01.957441000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,186,2024-01-23T09:40:01.957441000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,182,2024-01-23T09:30:02.014117000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,151,2024-01-23T09:30:02.014117000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,177,2024-01-23T09:30:01.874427000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,149,2024-01-23T09:30:01.874427000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,195,2024-01-23T09:30:01.689496000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,184,2024-01-23T09:30:01.689496000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,185,2024-01-23T09:20:01.816933000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,155,2024-01-23T09:20:01.816933000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,177,2024-01-23T09:20:01.662851000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,154,2024-01-23T09:20:01.662851000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,190,2024-01-23T09:20:01.462101000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,183,2024-01-23T09:20:01.462101000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,232,2024-01-23T09:10:02.125912000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,156,2024-01-23T09:10:02.125912000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,234,2024-01-23T09:10:01.976339000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,157,2024-01-23T09:10:01.976339000,Krankenhaus -> Krumpaul
