from,to,distance_m,duration_s,duration_in_traffic_s,datetime,from_to
Höhle,Krankenhaus,1905,182,184,2023-12-23T09:40:02.180307000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,183,2023-12-23T09:40:02.180307000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,185,2023-12-23T09:40:02.180307000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,152,2023-12-23T09:40:02.180307000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,196,2023-12-23T09:40:02.180307000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,158,2023-12-23T09:40:02.180307000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,215,2023-12-22T11:50:02.508729000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,209,2023-12-22T11:50:02.508729000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,213,2023-12-22T11:50:02.508729000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,172,2023-12-22T11:50:02.508729000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,226,2023-12-22T11:50:02.508729000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,178,2023-12-22T11:50:02.508729000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,163,2023-12-21T21:20:01.552069000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,159,2023-12-21T21:20:01.552069000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,158,2023-12-21T21:20:01.552069000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,125,2023-12-21T21:20:01.552069000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,169,2023-12-21T21:20:01.552069000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,135,2023-12-21T21:20:01.552069000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,154,2023-12-24T21:00:10.050874000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,157,2023-12-24T21:00:10.050874000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,161,2023-12-24T21:00:10.050874000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,118,2023-12-24T21:00:10.050874000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,172,2023-12-24T21:00:10.050874000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,127,2023-12-24T21:00:10.050874000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,191,2023-12-23T12:10:01.501542000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,192,2023-12-23T12:10:01.501542000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,192,2023-12-23T12:10:01.501542000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,159,2023-12-23T12:10:01.501542000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,190,2023-12-23T12:10:01.501542000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,153,2023-12-23T12:10:01.501542000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,200,2023-12-21T09:10:02.130653000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,213,2023-12-21T09:10:02.130653000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,197,2023-12-21T09:10:02.130653000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,165,2023-12-21T09:10:02.130653000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,201,2023-12-21T09:10:02.130653000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,165,2023-12-21T09:10:02.130653000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,156,2023-12-20T22:20:01.968418000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,160,2023-12-20T22:20:01.968418000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,149,2023-12-20T22:20:01.968418000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,122,2023-12-20T22:20:01.968418000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,162,2023-12-20T22:20:01.968418000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,126,2023-12-20T22:20:01.968418000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,156,2023-12-24T08:15:02.532902000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,162,2023-12-24T08:15:02.532902000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,167,2023-12-24T08:15:02.532902000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,135,2023-12-24T08:15:02.532902000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,170,2023-12-24T08:15:02.532902000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,119,2023-12-24T08:15:02.532902000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,171,2023-12-24T15:26:05.395956000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,176,2023-12-24T15:26:05.395956000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,176,2023-12-24T15:26:05.395956000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,148,2023-12-24T15:26:05.395956000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,184,2023-12-24T15:26:05.395956000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,142,2023-12-24T15:26:05.395956000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,147,2023-12-24T05:35:02.105290000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,157,2023-12-24T05:35:02.105290000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,143,2023-12-24T05:35:02.105290000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,118,2023-12-24T05:35:02.105290000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,167,2023-12-24T05:35:02.105290000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,133,2023-12-24T05:35:02.105290000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,164,2023-12-22T20:10:01.886706000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,165,2023-12-22T20:10:01.886706000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,162,2023-12-22T20:10:01.886706000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,131,2023-12-22T20:10:01.886706000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,175,2023-12-22T20:10:01.886706000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,137,2023-12-22T20:10:01.886706000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,188,2023-12-22T08:50:36.972387000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,187,2023-12-22T08:50:36.972387000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,191,2023-12-22T08:50:36.972387000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,157,2023-12-22T08:50:36.972387000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,194,2023-12-22T08:50:36.972387000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,156,2023-12-22T08:50:36.972387000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,214,2023-12-21T16:20:01.837848000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,210,2023-12-21T16:20:01.837848000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,222,2023-12-21T16:20:01.837848000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,188,2023-12-21T16:20:01.837848000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,227,2023-12-21T16:20:01.837848000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,204,2023-12-21T16:20:01.837848000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,151,2023-12-24T06:15:01.984556000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,154,2023-12-24T06:15:01.984556000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,149,2023-12-24T06:15:01.984556000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,116,2023-12-24T06:15:01.984556000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,165,2023-12-24T06:15:01.984556000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,129,2023-12-24T06:15:01.984556000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,179,2023-12-25T14:35:02.557436000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,180,2023-12-25T14:35:02.557436000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,181,2023-12-25T14:35:02.557436000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,152,2023-12-25T14:35:02.557436000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,194,2023-12-25T14:35:02.557436000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,152,2023-12-25T14:35:02.557436000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,205,2023-12-22T11:10:31.936289000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,200,2023-12-22T11:10:31.936289000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,226,2023-12-22T11:10:31.936289000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,192,2023-12-22T11:10:31.936289000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,215,2023-12-22T11:10:31.936289000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,174,2023-12-22T11:10:31.936289000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,149,2023-12-24T06:00:01.361633000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,153,2023-12-24T06:00:01.361633000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,145,2023-12-24T06:00:01.361633000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,113,2023-12-24T06:00:01.361633000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,168,2023-12-24T06:00:01.361633000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,133,2023-12-24T06:00:01.361633000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,172,2023-12-23T13:58:57.894494000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,176,2023-12-23T13:58:57.894494000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,172,2023-12-23T13:58:57.894494000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,145,2023-12-23T13:58:57.894494000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,191,2023-12-23T13:58:57.894494000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,152,2023-12-23T13:58:57.894494000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,212,2023-12-21T12:20:02.091558000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,206,2023-12-21T12:20:02.091558000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,197,2023-12-21T12:20:02.091558000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,177,2023-12-21T12:20:02.091558000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,208,2023-12-21T12:20:02.091558000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,176,2023-12-21T12:20:02.091558000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,158,2023-12-20T20:40:02.407489000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,161,2023-12-20T20:40:02.407489000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,156,2023-12-20T20:40:02.407489000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,125,2023-12-20T20:40:02.407489000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,168,2023-12-20T20:40:02.407489000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,131,2023-12-20T20:40:02.407489000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,239,2023-12-25T07:22:51.722724000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,231,2023-12-25T07:22:51.722724000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,189,2023-12-25T07:22:51.722724000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,170,2023-12-25T07:22:51.722724000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,209,2023-12-25T07:22:51.722724000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,189,2023-12-25T07:22:51.722724000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,163,2023-12-24T12:05:01.775741000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,164,2023-12-24T12:05:01.775741000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,158,2023-12-24T12:05:01.775741000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,132,2023-12-24T12:05:01.775741000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,170,2023-12-24T12:05:01.775741000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,138,2023-12-24T12:05:01.775741000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,211,2023-12-20T12:45:02.761839000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,206,2023-12-20T12:45:02.761839000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,208,2023-12-20T12:45:02.761839000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,173,2023-12-20T12:45:02.761839000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,203,2023-12-20T12:45:02.761839000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,161,2023-12-20T12:45:02.761839000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,172,2023-12-24T18:55:01.603860000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,174,2023-12-24T18:55:01.603860000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,165,2023-12-24T18:55:01.603860000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,136,2023-12-24T18:55:01.603860000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,166,2023-12-24T18:55:01.603860000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,128,2023-12-24T18:55:01.603860000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,189,2023-12-23T17:30:02.270864000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,189,2023-12-23T17:30:02.270864000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,179,2023-12-23T17:30:02.270864000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,145,2023-12-23T17:30:02.270864000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,190,2023-12-23T17:30:02.270864000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,155,2023-12-23T17:30:02.270864000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,201,2023-12-21T08:30:01.729418000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,198,2023-12-21T08:30:01.729418000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,183,2023-12-21T08:30:01.729418000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,155,2023-12-21T08:30:01.729418000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,194,2023-12-21T08:30:01.729418000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,161,2023-12-21T08:30:01.729418000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,168,2023-12-24T05:00:02.905293000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,168,2023-12-24T05:00:02.905293000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,163,2023-12-24T05:00:02.905293000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,139,2023-12-24T05:00:02.905293000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,172,2023-12-24T05:00:02.905293000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,144,2023-12-24T05:00:02.905293000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,177,2023-12-25T14:34:08.922849000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,179,2023-12-25T14:34:08.922849000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,181,2023-12-25T14:34:08.922849000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,152,2023-12-25T14:34:08.922849000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,193,2023-12-25T14:34:08.922849000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,153,2023-12-25T14:34:08.922849000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,193,2023-12-22T15:50:03.022742000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,201,2023-12-22T15:50:03.022742000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,187,2023-12-22T15:50:03.022742000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,160,2023-12-22T15:50:03.022742000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,200,2023-12-22T15:50:03.022742000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,156,2023-12-22T15:50:03.022742000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,162,2023-12-23T20:10:01.987057000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,166,2023-12-23T20:10:01.987057000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,162,2023-12-23T20:10:01.987057000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,129,2023-12-23T20:10:01.987057000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,176,2023-12-23T20:10:01.987057000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,134,2023-12-23T20:10:01.987057000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,169,2023-12-24T18:00:02.413715000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,171,2023-12-24T18:00:02.413715000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,172,2023-12-24T18:00:02.413715000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,145,2023-12-24T18:00:02.413715000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,174,2023-12-24T18:00:02.413715000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,139,2023-12-24T18:00:02.413715000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,151,2023-12-24T06:05:02.086198000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,154,2023-12-24T06:05:02.086198000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,149,2023-12-24T06:05:02.086198000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,116,2023-12-24T06:05:02.086198000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,165,2023-12-24T06:05:02.086198000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,128,2023-12-24T06:05:02.086198000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,151,2023-12-24T06:10:01.416201000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,154,2023-12-24T06:10:01.416201000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,149,2023-12-24T06:10:01.416201000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,116,2023-12-24T06:10:01.416201000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,165,2023-12-24T06:10:01.416201000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,129,2023-12-24T06:10:01.416201000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,193,2023-12-20T18:00:01.665714000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,193,2023-12-20T18:00:01.665714000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,183,2023-12-20T18:00:01.665714000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,154,2023-12-20T18:00:01.665714000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,198,2023-12-20T18:00:01.665714000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,157,2023-12-20T18:00:01.665714000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,174,2023-12-20T19:40:01.895983000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,171,2023-12-20T19:40:01.895983000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,158,2023-12-20T19:40:01.895983000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,129,2023-12-20T19:40:01.895983000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,168,2023-12-20T19:40:01.895983000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,136,2023-12-20T19:40:01.895983000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,192,2023-12-21T14:00:01.823145000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,196,2023-12-21T14:00:01.823145000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,188,2023-12-21T14:00:01.823145000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,163,2023-12-21T14:00:01.823145000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,189,2023-12-21T14:00:01.823145000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,156,2023-12-21T14:00:01.823145000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,149,2023-12-24T07:30:02.032607000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,156,2023-12-24T07:30:02.032607000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,156,2023-12-24T07:30:02.032607000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,134,2023-12-24T07:30:02.032607000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,156,2023-12-24T07:30:02.032607000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,115,2023-12-24T07:30:02.032607000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,193,2023-12-23T17:36:37.171193000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,193,2023-12-23T17:36:37.171193000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,172,2023-12-23T17:36:37.171193000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,139,2023-12-23T17:36:37.171193000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,189,2023-12-23T17:36:37.171193000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,149,2023-12-23T17:36:37.171193000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,181,2023-12-25T15:00:01.638931000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,185,2023-12-25T15:00:01.638931000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,174,2023-12-25T15:00:01.638931000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,151,2023-12-25T15:00:01.638931000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,196,2023-12-25T15:00:01.638931000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,159,2023-12-25T15:00:01.638931000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,207,2023-12-21T10:10:02.531765000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,200,2023-12-21T10:10:02.531765000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,188,2023-12-21T10:10:02.531765000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,160,2023-12-21T10:10:02.531765000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,197,2023-12-21T10:10:02.531765000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,163,2023-12-21T10:10:02.531765000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,158,2023-12-24T09:50:02.178764000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,163,2023-12-24T09:50:02.178764000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,158,2023-12-24T09:50:02.178764000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,135,2023-12-24T09:50:02.178764000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,165,2023-12-24T09:50:02.178764000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,129,2023-12-24T09:50:02.178764000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,201,2023-12-21T15:00:01.534739000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,196,2023-12-21T15:00:01.534739000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,198,2023-12-21T15:00:01.534739000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,164,2023-12-21T15:00:01.534739000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,230,2023-12-21T15:00:01.534739000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,184,2023-12-21T15:00:01.534739000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,159,2023-12-24T08:40:02.440703000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,163,2023-12-24T08:40:02.440703000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,158,2023-12-24T08:40:02.440703000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,130,2023-12-24T08:40:02.440703000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,162,2023-12-24T08:40:02.440703000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,118,2023-12-24T08:40:02.440703000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,159,2023-12-24T09:15:02.265130000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,163,2023-12-24T09:15:02.265130000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,151,2023-12-24T09:15:02.265130000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,126,2023-12-24T09:15:02.265130000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,166,2023-12-24T09:15:02.265130000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,133,2023-12-24T09:15:02.265130000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,151,2023-12-24T07:10:02.298513000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,156,2023-12-24T07:10:02.298513000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,156,2023-12-24T07:10:02.298513000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,127,2023-12-24T07:10:02.298513000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,158,2023-12-24T07:10:02.298513000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,115,2023-12-24T07:10:02.298513000,Krumpaul -> Krankenhaus
