from,to,distance_m,duration_s,duration_in_traffic_s,datetime,from_to
Höhle,Krumpaul,2154,180,159,2023-12-21T21:00:02.457005000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,158,2023-12-21T21:00:02.457005000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,125,2023-12-21T21:00:02.457005000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,165,2023-12-21T21:00:02.457005000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,128,2023-12-21T21:00:02.457005000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,181,2023-12-25T13:55:14.041770000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,182,2023-12-25T13:55:14.041770000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,169,2023-12-25T13:55:14.041770000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,146,2023-12-25T13:55:14.041770000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,187,2023-12-25T13:55:14.041770000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,152,2023-12-25T13:55:14.041770000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,199,2023-12-22T13:00:02.748620000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,197,2023-12-22T13:00:02.748620000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,201,2023-12-22T13:00:02.748620000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,174,2023-12-22T13:00:02.748620000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,212,2023-12-22T13:00:02.748620000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,177,2023-12-22T13:00:02.748620000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,179,2023-12-25T14:06:22.249889000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,183,2023-12-25T14:06:22.249889000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,173,2023-12-25T14:06:22.249889000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,149,2023-12-25T14:06:22.249889000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,193,2023-12-25T14:06:22.249889000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,154,2023-12-25T14:06:22.249889000,Krumpaul -> Krankenhaus
